stage,encoder_hidden,depth,dropout,lr,weight_decay,seed,best_val_mse,best_epoch,epochs_ran
A,"(256, 128, 64)",3,0.0,0.003,0.0001,0,1.0978561490774155,28,53
A,"(512, 256, 128, 64)",4,0.1,0.001,0.0001,0,1.0981152057647705,28,53
A,"(512, 512)",2,0.2,0.001,0.0001,0,1.0982779115438461,66,91
A,"(512, 512)",2,0.2,0.001,0.0,0,1.098351702094078,62,87
A,"(512, 512)",2,0.2,0.001,1e-05,0,1.098351702094078,62,87
A,"(256, 128, 64)",3,0.0,0.003,0.0,0,1.0990121066570282,28,53
A,"(512, 256)",2,0.2,0.003,1e-05,0,1.1001544743776321,48,73
A,"(512, 256, 128, 64)",4,0.0,0.0003,0.0001,0,1.1001886278390884,77,102
A,"(512, 256, 128, 64)",4,0.0,0.0003,1e-05,0,1.1002250462770462,77,102
A,"(512, 256, 128, 64)",4,0.0,0.0003,0.0,0,1.1002250462770462,77,102
A,"(512, 256, 128, 64)",4,0.0,0.0003,0.001,0,1.1002373099327087,77,102
A,"(256, 128)",2,0.2,0.001,0.0,0,1.1004248410463333,62,87
A,"(256, 128)",2,0.2,0.001,1e-05,0,1.1004248410463333,62,87
A,"(256, 128)",2,0.2,0.0003,0.0001,0,1.100718840956688,183,200
A,"(256, 128)",2,0.2,0.0003,0.0,0,1.101330116391182,183,200
A,"(256, 128)",2,0.2,0.0003,1e-05,0,1.101330116391182,183,200
A,"(512, 256)",2,0.2,0.003,0.0,0,1.1013392508029938,48,73
A,"(512, 256)",2,0.2,0.003,0.0001,0,1.1014925241470337,48,73
A,"(256, 128)",2,0.2,0.0003,0.001,0,1.1018398851156235,183,200
A,"(256, 128)",2,0.2,0.001,0.0001,0,1.1018735021352768,62,87
A,"(256, 128)",2,0.2,0.001,0.001,0,1.101955533027649,62,87
A,"(512, 256, 128, 64)",4,0.1,0.0003,0.0,0,1.1019690781831741,107,132
A,"(512, 256, 128, 64)",4,0.1,0.0003,1e-05,0,1.1019690781831741,107,132
A,"(256, 128, 64)",3,0.2,0.003,0.0001,0,1.1035849004983902,36,61
A,"(256, 256)",2,0.2,0.0003,1e-05,0,1.1040349304676056,155,180
