method,year,mse,mae,rmse,n,eval_seed,sample_frac,sample_n,run_id
zero_shot,2011,7.209393501281738,2.533583164215088,2.6850313780814066,32,10,0.2,,2ab565ef227d
zero_shot,2012,8.595181465148926,2.644886016845703,2.931753991239532,32,10,0.2,,2ab565ef227d
zero_shot,2013,7.913876533508301,2.709859609603882,2.813161305988034,32,10,0.2,,2ab565ef227d
zero_shot,2014,10.770594596862791,2.9906222820281982,3.2818584059740896,33,10,0.2,,2ab565ef227d
zero_shot,2015,11.075326919555664,3.140336513519287,3.327961375911034,31,10,0.2,,2ab565ef227d
zero_shot,2016,11.34687042236328,3.294093370437622,3.368511603418234,32,10,0.2,,2ab565ef227d
zero_shot,2017,11.919913291931152,3.333091259002685,3.452522743144664,27,10,0.2,,2ab565ef227d
zero_shot,2018,13.65397834777832,3.535943984985352,3.69512900286016,29,10,0.2,,2ab565ef227d
zero_shot,2019,17.20233154296875,3.979592323303223,4.147569353605645,23,10,0.2,,2ab565ef227d
zero_shot,post_2005_plus,8.603846549987793,2.694362163543701,2.93323141773502,437,10,0.2,,2ab565ef227d
zero_shot,2005,1.830805420875549,1.183020830154419,1.353072585220597,34,11,0.2,,89bebac264e5
zero_shot,2006,2.4863715171813965,1.4662082195281982,1.5768232358705894,33,11,0.2,,89bebac264e5
zero_shot,2007,2.623364925384521,1.490417242050171,1.619680501020038,31,11,0.2,,89bebac264e5
zero_shot,2008,4.615367889404297,1.8561129570007324,2.148340729354703,34,11,0.2,,89bebac264e5
zero_shot,2009,5.900990962982178,2.161569595336914,2.429195538235277,34,11,0.2,,89bebac264e5
zero_shot,2010,6.700290203094482,2.314798355102539,2.5884918781202466,33,11,0.2,,89bebac264e5
zero_shot,2011,6.265187740325928,2.3681864738464355,2.5030357049642595,32,11,0.2,,89bebac264e5
zero_shot,2012,7.14832067489624,2.471956491470337,2.6736343569935364,32,11,0.2,,89bebac264e5
zero_shot,2013,7.925982475280762,2.7514116764068604,2.8153121452657364,32,11,0.2,,89bebac264e5
zero_shot,2014,10.13817310333252,3.081364870071411,3.184049795988204,33,11,0.2,,89bebac264e5
zero_shot,2015,13.020597457885742,3.429313898086548,3.608406498426382,31,11,0.2,,89bebac264e5
zero_shot,2016,12.656712532043455,3.4569716453552246,3.5576273739732014,32,11,0.2,,89bebac264e5
zero_shot,2017,11.227054595947266,3.268357515335083,3.3506797214814887,27,11,0.2,,89bebac264e5
zero_shot,2018,11.524768829345703,3.261664867401123,3.394814991917189,29,11,0.2,,89bebac264e5
zero_shot,2019,14.293848037719728,3.683562278747559,3.780720571229739,23,11,0.2,,89bebac264e5
zero_shot,post_2005_plus,7.998873233795166,2.5772109031677246,2.8282279317260066,437,11,0.2,,89bebac264e5
zero_shot,2005,1.9695274829864504,1.202731370925903,1.4033985474505986,34,12,0.2,,e968e297bd82
zero_shot,2006,3.011770725250244,1.5989967584609983,1.7354453967930663,33,12,0.2,,e968e297bd82
zero_shot,2007,3.1139333248138428,1.5181195735931396,1.7646340484116934,31,12,0.2,,e968e297bd82
zero_shot,2008,3.860788345336914,1.8034107685089111,1.964888888801836,34,12,0.2,,e968e297bd82
zero_shot,2009,5.303605556488037,2.117270469665528,2.302955830338054,34,12,0.2,,e968e297bd82
zero_shot,2010,5.956857681274414,2.188206195831299,2.440667466344896,33,12,0.2,,e968e297bd82
zero_shot,2011,7.100529670715332,2.527200222015381,2.664681907979887,32,12,0.2,,e968e297bd82
zero_shot,2012,8.185541152954102,2.71114444732666,2.861038474567251,32,12,0.2,,e968e297bd82
zero_shot,2013,9.130902290344238,2.926010847091675,3.0217382895188387,32,12,0.2,,e968e297bd82
zero_shot,2014,8.75977611541748,2.69771409034729,2.9596918953528726,33,12,0.2,,e968e297bd82
zero_shot,2015,11.805100440979004,3.2013583183288574,3.435855125144104,31,12,0.2,,e968e297bd82
zero_shot,2016,11.59701919555664,3.340214252471924,3.405439647909891,32,12,0.2,,e968e297bd82
zero_shot,2017,10.744084358215332,3.213148355484009,3.2778170110937146,27,12,0.2,,e968e297bd82
zero_shot,2018,11.929767608642578,3.368881702423096,3.4539495666038,29,12,0.2,,e968e297bd82
zero_shot,2019,17.190757751464844,3.973598003387451,4.146173868938065,23,12,0.2,,e968e297bd82
zero_shot,post_2005_plus,7.998641967773437,2.612452268600464,2.8281870461080607,437,12,0.2,,e968e297bd82
zero_shot,2005,3.243546724319458,1.4662541151046753,1.8009849317302624,34,13,0.2,,c19000e09bf2
zero_shot,2006,3.152135372161865,1.5715265274047852,1.7754254059694723,33,13,0.2,,c19000e09bf2
zero_shot,2007,2.657687425613404,1.4980175495147705,1.6302415237054304,31,13,0.2,,c19000e09bf2
zero_shot,2008,3.681971788406372,1.7656290531158447,1.9188464733809143,34,13,0.2,,c19000e09bf2
zero_shot,2009,5.537670612335205,2.1536147594451904,2.353225576168848,34,13,0.2,,c19000e09bf2
zero_shot,2010,5.643110752105713,2.177039623260498,2.3755232585907704,33,13,0.2,,c19000e09bf2
zero_shot,2011,8.051770210266113,2.7606313228607178,2.8375641332428265,32,13,0.2,,c19000e09bf2
zero_shot,2012,6.886507987976074,2.458543062210083,2.6242156900636187,32,13,0.2,,c19000e09bf2
zero_shot,2013,8.69405460357666,2.865565776824951,2.9485682294253697,32,13,0.2,,c19000e09bf2
zero_shot,2014,8.80809211730957,2.8400652408599854,2.967843007524079,33,13,0.2,,c19000e09bf2
zero_shot,2015,12.34845733642578,3.202686548233032,3.5140371848382284,31,13,0.2,,c19000e09bf2
zero_shot,2016,10.826337814331056,3.207289457321167,3.29034007578716,32,13,0.2,,c19000e09bf2
zero_shot,2017,10.810128211975098,3.19217586517334,3.28787594230304,27,13,0.2,,c19000e09bf2
zero_shot,2018,13.64998722076416,3.603105306625366,3.694588910929626,29,13,0.2,,c19000e09bf2
zero_shot,2019,15.144744873046877,3.639472723007202,3.891624965621286,23,13,0.2,,c19000e09bf2
zero_shot,post_2005_plus,7.723896026611328,2.559655904769897,2.7791898147861955,437,13,0.2,,c19000e09bf2
zero_shot,2005,2.2461562156677246,1.314774990081787,1.4987181908776996,34,14,0.2,,a821194bf761
zero_shot,2006,3.3162951469421387,1.6524633169174194,1.8210697809096,33,14,0.2,,a821194bf761
zero_shot,2007,2.86428165435791,1.520252346992493,1.692418876743553,31,14,0.2,,a821194bf761
zero_shot,2008,3.938129186630249,1.8423126935958865,1.9844720170942824,34,14,0.2,,a821194bf761
zero_shot,2009,6.537535667419434,2.301921129226685,2.5568605099651864,34,14,0.2,,a821194bf761
zero_shot,2010,5.7428131103515625,2.2877206802368164,2.396416723016171,33,14,0.2,,a821194bf761
zero_shot,2011,7.811296463012695,2.655657768249512,2.794869668341029,32,14,0.2,,a821194bf761
zero_shot,2012,7.233949184417725,2.5545296669006348,2.689600190440528,32,14,0.2,,a821194bf761
zero_shot,2013,7.931294918060303,2.740399122238159,2.816255478123443,32,14,0.2,,a821194bf761
zero_shot,2014,9.360801696777344,2.925621747970581,3.0595427267448554,33,14,0.2,,a821194bf761
zero_shot,2015,10.840215682983398,3.0312294960021973,3.2924482809883893,31,14,0.2,,a821194bf761
zero_shot,2016,12.329548835754396,3.461168050765991,3.5113457300235185,32,14,0.2,,a821194bf761
zero_shot,2017,11.036091804504396,3.2178754806518555,3.3220613787984705,27,14,0.2,,a821194bf761
zero_shot,2018,12.6132173538208,3.4644875526428223,3.551509165667576,29,14,0.2,,a821194bf761
zero_shot,2019,15.157179832458496,3.706307888031006,3.893222294251703,23,14,0.2,,a821194bf761
zero_shot,post_2005_plus,7.635568618774414,2.515296220779419,2.763253267215008,437,14,0.2,,a821194bf761
zero_shot,2005,3.2445921897888184,1.495799899101257,1.801275156601239,34,15,0.2,,46caa27ef7d3
zero_shot,2006,2.5980353355407715,1.4691344499588013,1.6118422179421816,33,15,0.2,,46caa27ef7d3
zero_shot,2007,4.116987705230713,1.7327170372009275,2.0290361517801285,31,15,0.2,,46caa27ef7d3
zero_shot,2008,3.175709009170532,1.6815921068191528,1.7820519097856078,34,15,0.2,,46caa27ef7d3
zero_shot,2009,4.7205119132995605,1.9512802362442017,2.172673908643348,34,15,0.2,,46caa27ef7d3
zero_shot,2010,5.515892028808594,2.242359638214112,2.348593627856593,33,15,0.2,,46caa27ef7d3
zero_shot,2011,7.822047233581543,2.596146583557129,2.796792311484988,32,15,0.2,,46caa27ef7d3
zero_shot,2012,8.807134628295898,2.740684986114502,2.96768169254991,32,15,0.2,,46caa27ef7d3
zero_shot,2013,10.370213508605955,3.084615468978882,3.220281588402784,32,15,0.2,,46caa27ef7d3
zero_shot,2014,9.51062297821045,2.9705052375793457,3.0839297946306186,33,15,0.2,,46caa27ef7d3
zero_shot,2015,11.886870384216309,3.272782802581787,3.447734094186544,31,15,0.2,,46caa27ef7d3
zero_shot,2016,12.089282989501951,3.369905948638916,3.4769646229868307,32,15,0.2,,46caa27ef7d3
zero_shot,2017,10.16976833343506,3.0774738788604736,3.1890074213515183,27,15,0.2,,46caa27ef7d3
zero_shot,2018,11.43898582458496,3.2599809169769287,3.3821569781110044,29,15,0.2,,46caa27ef7d3
zero_shot,2019,14.187878608703612,3.615036010742188,3.766680051279059,23,15,0.2,,46caa27ef7d3
zero_shot,post_2005_plus,7.665012836456299,2.54858946800232,2.7685759582240648,437,15,0.2,,46caa27ef7d3
zero_shot,2005,2.494616270065308,1.37719988822937,1.579435427633972,34,16,0.2,,ebf8fa354251
zero_shot,2006,2.700277328491211,1.5009677410125732,1.6432520587211237,33,16,0.2,,ebf8fa354251
zero_shot,2007,2.843613147735596,1.579295039176941,1.6863016182568276,31,16,0.2,,ebf8fa354251
zero_shot,2008,4.62319803237915,2.004230737686157,2.150162326983512,34,16,0.2,,ebf8fa354251
zero_shot,2009,4.608631134033203,1.9975240230560305,2.1467722594707626,34,16,0.2,,ebf8fa354251
zero_shot,2010,6.618598937988281,2.2955141067504883,2.572663782539079,33,16,0.2,,ebf8fa354251
zero_shot,2011,6.470020294189453,2.450653314590454,2.543623457626827,32,16,0.2,,ebf8fa354251
zero_shot,2012,6.958731651306152,2.5256378650665283,2.637940797536244,32,16,0.2,,ebf8fa354251
zero_shot,2013,7.817660331726074,2.699741840362549,2.7960079276937098,32,16,0.2,,ebf8fa354251
