method,year,sample,mse,mae,rmse,n
full_finetune,2009,46,0.633882999420166,0.48884886503219604,0.7961676955391785,34
full_finetune,2009,47,0.45042431354522705,0.5595116019248962,0.6711365833757142,34
full_finetune,2009,48,0.9318816661834717,0.6474312543869019,0.9653401815854719,34
full_finetune,2009,49,0.7167160511016846,0.4696277976036072,0.8465908404310104,34
full_finetune,2010,0,0.8172976970672607,0.609447717666626,0.9040451853017418,33
full_finetune,2010,1,0.9542413353919983,0.7243465185165405,0.9768527705811139,33
full_finetune,2010,2,0.9148173332214355,0.664482831954956,0.9564608372648802,33
full_finetune,2010,3,0.7962453365325928,0.6424533724784851,0.8923258017857563,33
full_finetune,2010,4,0.37082639336586,0.44620460271835327,0.6089551653166758,33
full_finetune,2010,5,0.3816830813884735,0.4518398642539978,0.6178050512811251,33
full_finetune,2010,6,0.5654288530349731,0.5379809737205505,0.7519500336026146,33
full_finetune,2010,7,0.4523743987083435,0.47416579723358154,0.6725878371694982,33
full_finetune,2010,8,0.5979235172271729,0.5682987570762634,0.7732551436797384,33
full_finetune,2010,9,0.8302790522575378,0.670978307723999,0.9111964948667975,33
full_finetune,2010,10,0.7572582960128784,0.5259957313537598,0.8702058928856311,33
full_finetune,2010,11,0.8071256279945374,0.6588166952133179,0.8984017074753016,33
full_finetune,2010,12,0.9639376401901245,0.7662010788917542,0.9818032594110312,33
full_finetune,2010,13,0.5555459260940552,0.5423552989959717,0.7453495328327879,33
full_finetune,2010,14,0.6026778817176819,0.5578891634941101,0.776323310044006,33
full_finetune,2010,15,0.3779831528663635,0.44922739267349243,0.6148033448724588,33
full_finetune,2010,16,0.5120468139648438,0.5462597012519836,0.7155744643046199,33
full_finetune,2010,17,0.8421948552131653,0.5867316722869873,0.9177117495233268,33
full_finetune,2010,18,0.5558035373687744,0.5573890209197998,0.7455223251980952,33
full_finetune,2010,19,0.6477407813072205,0.5826370716094971,0.8048234472896652,33
full_finetune,2010,20,0.8248374462127686,0.658731997013092,0.9082056189061861,33
full_finetune,2010,21,0.41350576281547546,0.45365411043167114,0.6430441375329344,33
full_finetune,2010,22,0.6302151679992676,0.5622232556343079,0.7938609248472099,33
full_finetune,2010,23,0.7263216376304626,0.6341541409492493,0.8522450572637325,33
full_finetune,2010,24,0.5126797556877136,0.525717556476593,0.7160165889752231,33
full_finetune,2010,25,0.5030725598335266,0.5019266605377197,0.7092760815320975,33
